product,category,subcategory,database,abbreviated_database,region,nutritional level,dish
Mango_pomelo_sago,Sweet Products,Fruit Dessert,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,1,Dessert
Mango_pudding,Sweet Products,Fruit Dessert,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
mangos,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
mangosteens,Fruits,Fruits,FruitVeg-81,FruitVeg81,EAST AND SOUTHEAST ASIA,5,Dessert
manti,Mixed Food,Dumpling,MAFood-121,MAFood121,CENTRAL ASIA,2,Main
Mapo_doufu,Mixed Food,Mixed Beans,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
mashed_potatoes,Mixed Food,Mixed Vegetables,VIPER-FoodNet,VIPER,INTERNATIONAL,5,Main
meat loaf,Meat,Varied Meat,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
meat_loaf,Meat,Varied Meat,VIPER-FoodNet,VIPER,INTERNATIONAL,2,Main
Meatloaf,Meat,Varied Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
Mee_pok,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Mee_siam,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
melitzanosalata,Mixed Food,Sauce,MAFood-121,MAFood121,EUROPE,1,Snack
melons,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
Melt_sandwich,Sandwich and Similar Products,Sandwich,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
Menudo,Soups and Stews,Stews,ISIA Food-500,ISIA,LATIN AMERICA AND THE CARIBBEAN,4,Main
Mì_Quảng,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Michigan_hot_dog,Fast Food,Hot Dog,ISIA Food-500,ISIA,NORTH AMERICA,1,Main
mie ayam,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
mie goreng,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Mie_goreng,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
milk,Drinks,Other Drinks,VIPER-FoodNet,VIPER,INTERNATIONAL,1,Drinks
Milk_Shake,Drinks,Sugary Drinks,ISIA Food-500,ISIA,INTERNATIONAL,1,Drinks
minced meat cutlet,Meat,Breaded Meat,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
minced pork rice,Mixed Food,Rice and Meat,UECFood-256,UECFOOD256,INTERNATIONAL,3,Main
Minestrone,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,EUROPE,4,Main
minestrone,Soups and Stews,Soups and Creams,UECFood-256,UECFOOD256,EUROPE,4,Main
Mirchi_ka_salan,Mixed Food,Mixed Food,ISIA Food-500,ISIA,CENTRAL ASIA,3,Main
miso soup,Soups and Stews,Soups and Creams,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
miso_soup,Soups and Stews,Soups and Creams,Food-101,Food101,EAST AND SOUTHEAST ASIA,4,Main
